"filename", "language", "TypeScript", "JSON", "JSON with Comments", "YAML", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"e:\TESIS\anthropometric-app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 1, 3, 27
"e:\TESIS\anthropometric-app\app.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 2, 45
"e:\TESIS\anthropometric-app\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 3, 8
"e:\TESIS\anthropometric-app\babel.config.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 1, 18
"e:\TESIS\anthropometric-app\eas.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 1, 25
"e:\TESIS\anthropometric-app\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3, 3, 9
"e:\TESIS\anthropometric-app\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 1, 37
"e:\TESIS\anthropometric-app\pnpm-lock.yaml", "YAML", 0, 0, 0, 5242, 0, 0, 0, 1412, 6654
"e:\TESIS\anthropometric-app\pnpm-workspace.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\TESIS\anthropometric-app\src\components\BottomActivationBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 3, 4, 55
"e:\TESIS\anthropometric-app\src\config\env.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"e:\TESIS\anthropometric-app\src\hooks\auth.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 9, 8, 73
"e:\TESIS\anthropometric-app\src\hooks\useUploadStatus.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 9, 42
"e:\TESIS\anthropometric-app\src\lib\api.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 24, 12, 87
"e:\TESIS\anthropometric-app\src\lib\emailAuth.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 3, 7, 48
"e:\TESIS\anthropometric-app\src\lib\firebase.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 4, 23
"e:\TESIS\anthropometric-app\src\lib\firestore.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 11, 14, 147
"e:\TESIS\anthropometric-app\src\lib\googleSignIn.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 11, 10, 52
"e:\TESIS\anthropometric-app\src\lib\uploads.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 5, 6, 59
"e:\TESIS\anthropometric-app\src\lib\userProfile.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 8, 4, 39
"e:\TESIS\anthropometric-app\src\lib\utils\firestoreDate.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\TESIS\anthropometric-app\src\navigation\AppNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 8, 9, 93
"e:\TESIS\anthropometric-app\src\screens\AuthScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 180, 8, 20, 208
"e:\TESIS\anthropometric-app\src\screens\DashboardScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 249, 8, 28, 285
"e:\TESIS\anthropometric-app\src\screens\HistoryScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 214, 5, 34, 253
"e:\TESIS\anthropometric-app\src\screens\PlanDetailPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 5, 21, 229
"e:\TESIS\anthropometric-app\src\screens\PlanDetailScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 317, 14, 47, 378
"e:\TESIS\anthropometric-app\src\screens\ProfileScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 1, 13, 158
"e:\TESIS\anthropometric-app\src\screens\ResultsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 336, 17, 43, 396
"e:\TESIS\anthropometric-app\src\screens\UploadScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 360, 12, 38, 410
"e:\TESIS\anthropometric-app\src\theme\emitheme.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 1, 6, 42
"e:\TESIS\anthropometric-app\src\types\index.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 5, 15, 109
"e:\TESIS\anthropometric-app\tsconfig.json", "JSON with Comments", 0, 0, 16, 0, 0, 0, 0, 1, 17
"Total", "-", 562, 103, 16, 5243, 17, 2155, 164, 1783, 10043
